"","longitude","latitude"
"311",-0.07868701,51.51827971
"312",80.73610719,7.99897572
"313",80.73610719,7.99897572
"314",80.73610719,7.99897572
"315",106.6087209,-6.25744111
"316",-118.2557688,33.90488416
"317",30.9306361,30.4655658
"318",148.683,-20.2833
"319",72.83237997,18.94976164
"320",18.471105,-33.9279966
"321",50.12821205,25.83722194
"322",-0.79926023,53.08736535
"323",-82.48858137,28.01112593
"324",145.0181458,-37.81800948
"325",-3.15885556,55.94837222
"326",103.8469435,1.34292908
"327",-122.3644316,37.94209275
"328",100.5333074,13.72816285
"329",-80.85037079,35.02712977
"330",-79.57014444,43.57563153
"331",-77.64199614,43.1135488
"332",-96.73750312,32.81206578
"333",-86.1952651,41.6794689
"334",100.5604196,13.78331551
"335",-122.2833333,37.71666667
"336",-77.4506092,37.5302082
"337",-2.2532741,53.3796282
"338",40.4255567,21.29278686
"339",-0.98501858,51.44720189
"340",-0.98515443,51.447311
"341",-79.54572206,36.0620464
"342",-95.430609,30.02693719
"343",-118.4720653,33.9851724
"344",-4.44649561,55.84719532
"345",-77.448875,37.534456
"346",153.035699,-27.463752
"347",-73.99729167,40.730945
"348",-73.996864,40.706086
"349",-1.6264084,52.87191243
"350",-96.800595,32.780594
"351",-1.1030625,50.8012694
"352",46.6816854,24.79778812
"353",-98.61677572,29.59453204
"354",144.9596843,-37.82345579
"355",-80.24325635,25.75048303
"356",13.35306356,38.12894039
"357",-118.4294997,34.43652547
"358",-3.9612654,51.6195598
"359",120.1808826,23.15464948
"360",-82.86031915,39.98271662
"361",-0.35160843,51.06106394
"362",-104.9157971,39.64984692
"363",0.20196139,51.70814949
"364",55.15968408,25.09110169
"365",-121.9485357,37.36009637
"366",72.62485577,23.04951238
"367",-69.07654557,44.19893467
"368",-6.17428645,53.27799566
"369",77.2390417,28.5665161
"370",101.4882061,3.05549453
"371",-82.52803357,27.33524553
"372",-122.4122892,37.78313268
"373",-87.59969532,40.14487735
"374",29.0585528,-26.4188018
"375",101.0690341,4.59362953
"376",67.01,24.86
"377",100.332256,5.42119813
"378",99.03865141,7.64908249
"379",-1.1030349,50.801191
"380",-0.14422585,51.4982035
"381",-120.2295575,39.19899052
"382",-1.1030438,50.8012041
"383",104.7435248,-2.99043768
"384",13.37637224,52.4884764
"385",123.3065425,9.30745425
"386",151.2070555,-33.87942037
"387",108.55208,-6.71312
"388",-1.5197797,6.7230677
"389",-3.9613896,51.6195329
"390",153.5880643,-28.87297849
"391",-84.9072066,32.6185998
"392",-118.0022165,33.74215048
"393",-82.2007366,29.132622
"394",103.9898114,1.36280981
"395",-85.61972008,42.27925301
"396",-74.07753803,42.88975961
